date,open,high,low,close,adj close,volume,symbol
20180914,56.4375,56.709999,55.630001,55.959999,53.741386,127997200,1
20180914,19.250668,19.822001,19.101334,19.68,19.68,101484000,4
20180914,113.809998,114.489998,113.230003,113.5,98.234238,10337900,3
20180917,161.5,161.649994,158.289001,158.889999,158.889999,20423200,2
20180917,55.537498,55.737499,54.317501,54.470001,52.310452,148780400,1
20180917,19.336,20.058001,19.208668,19.656,19.656,103314000,4
20180917,113.790001,114.43,113.300003,113.839996,98.528496,9561300,3
20180918,156.880005,159.399994,155.520004,156.649994,156.649994,27240600,2
20180918,54.447498,55.462502,54.279999,54.560001,52.396881,126286800,1
20180918,19.779333,20.176001,18.366667,18.997334,18.997334,248212500,4
20180918,114.330002,114.660004,113.559998,114.300003,98.926643,7944200,3
20180919,158.820007,163.130005,158.820007,162.630005,162.630005,23028300,2
20180919,54.625,54.904999,53.825001,54.592499,52.428101,108495200,1
20180919,18.700666,20,18.700001,19.934668,19.934668,124423500,4
20180919,114.440002,118.059998,114.440002,117.620003,101.80011,16052800,3
20180920,166.889999,167.699997,164.716003,165.880005,165.880005,22818100,2
20180920,55.060001,55.57,54.787498,55.0075,52.826645,106435200,1
20180920,20.237333,20.398666,19.555332,19.888666,19.888666,110241000,4
20180920,118.5,119.239998,118.080002,118.629997,102.67424,15590000,3
20180921,169.460007,169.839996,164.5,164.630005,164.630005,22081900,2
20180921,55.195,55.34,54.322498,54.415001,52.257637,384986800,1
20180921,19.846666,20.038668,19.691334,19.940001,19.940001,75757500,4
20180921,119.129997,119.230003,117.739998,117.849998,101.999168,24788200,3
20180924,162.809998,163.399002,160.100006,163.160004,163.160004,13123400,2
20180924,54.205002,55.314999,54.157501,55.197498,53.009109,110773600,1
20180924,19.898666,20.200001,19.572001,19.978666,19.978666,72645000,4
20180924,117.760002,118.459999,116.43,116.720001,101.021149,12492500,3
20180925,164.050003,165.440002,162.830002,164.25,164.25,9588700,2
20180925,54.9375,55.705002,54.924999,55.547501,53.345234,98217600,1
20180925,20,20.306667,19.766666,20.066,20.066,67225500,4
20180925,117.040001,117.970001,116.32,116.389999,100.735519,9308300,3
20180926,165.520004,167.389999,164.869995,165.399994,165.399994,13592500,2
20180926,55.25,55.9375,54.939999,55.105,52.920277,95938800,1
20180926,20.127333,20.926001,20.073999,20.638666,20.638666,117648000,4
20180926,116.75,116.870003,114.660004,115.019997,99.549805,14023600,3
20180927,166.389999,167.050003,164.919998,166.320007,166.320007,12689200,2
20180927,55.955002,56.610001,55.884998,56.237499,54.007877,120724800,1
20180927,20.860001,20.997334,20.460667,20.501333,20.501333,127636500,4
20180927,115.419998,115.760002,114.160004,114.519997,99.11705,13283000,3
20180928,164.899994,165.660004,163.300003,164.759995,164.759995,10486500,2
20180928,56.197498,56.459999,56.005001,56.435001,54.197548,91717600,1
20180928,18.017332,18.533333,17.370667,17.651333,17.651333,504745500,4
20180928,113.650002,114.239998,112.519997,112.839996,97.662994,15815100,3
20181001,165.919998,165.949997,161.559998,162,162,10615200,2
20181001,56.987499,57.355,56.587502,56.814999,54.562485,94403200,1
20181001,20.384666,20.762667,20.07,20.713333,20.713333,326664000,4
20181001,113.370003,114.610001,113.040001,113.5,98.234238,10146300,3
20181002,159.789993,161.028,158.270004,160.229996,160.229996,14730500,2
20181002,56.8125,57.5,56.657501,57.32,55.047459,99152800,1
20181002,20.93,21.122667,19.943333,20.068001,20.068001,176152500,4
20181002,113.360001,114.120003,112.809998,113.970001,98.641022,13753100,3
20181003,163.149994,164.539993,161.929993,162.369995,162.369995,13118800,2
20181003,57.512501,58.3675,57.445,58.017502,55.717312,114619200,1
20181003,20.222,20.306667,19.438,19.653334,19.653334,119925000,4
20181003,114.940002,115.660004,114.480003,115.040001,99.567108,17142000,3
20181004,160.059998,160.080002,153.869995,156.130005,156.130005,32176100,2
20181004,57.695,58.087502,56.682499,56.997501,54.737755,128168000,1
20181004,19.596666,19.6,18.511333,18.788668,18.788668,147213000,4
20181004,114.550003,116.809998,114.209999,115.269997,100.464806,16357400,3
20181005,156.139999,157.119995,152.25,154.630005,154.630005,20271000,2
20181005,56.990002,57.102501,55.145,56.072498,53.849422,134322000,1
20181005,18.309999,18.325333,17.333332,17.463333,17.463333,269167500,4
20181005,115.830002,116.099998,114.019997,114.620003,99.898285,13777600,3
20181008,150.199997,152.636002,148.339996,151.139999,151.139999,25060400,2
20181008,55.552502,56.200001,55.049999,55.942501,53.724571,118655600,1
20181008,17.634666,17.850668,16.6,16.704,16.704,202090500,4
20181008,114.25,115.779999,113.349998,115.32,100.508408,14370900,3
20181009,147.970001,150.589996,146.470001,146.940002,146.940002,31070200,2
20181009,55.91,56.817501,55.5625,56.717499,54.468849,107564000,1
20181009,17.016666,17.784666,16.886667,17.52,17.52,180909000,4
20181009,114.669998,115.029999,113.669998,114.519997,99.811142,14069500,3
20181010,142.5,144,137.919998,138.289993,138.289993,55828800,2
20181010,56.365002,56.587502,54.012501,54.09,51.945518,167962400,1
20181010,17.640667,17.700666,16.518,17.125334,17.125334,192229500,4
20181010,114.699997,114.949997,111.470001,111.470001,97.152885,23086400,3
20181011,135.529999,142.910004,135.139999,141.899994,141.899994,43210300,2
20181011,53.630001,54.875,53.080002,53.612499,51.486946,212497600,1
20181011,17.168667,17.483334,16.601999,16.815332,16.815332,122515500,4
20181011,110.970001,111.470001,107.379997,108.129997,94.241882,33705600,3
20181012,148.619995,149,144.520004,147.289993,147.289993,30764400,2
20181012,55.105,55.720001,54.209999,55.5275,53.326031,161351600,1
20181012,17.4,17.466,16.800667,17.252001,17.252001,108021000,4
20181012,110.370003,110.830002,105.599998,106.949997,93.213425,32075700,3
20181015,144.770004,145.690002,142.300003,144.160004,144.160004,18567100,2
20181015,55.290001,55.4575,54.317501,54.34,52.185612,123164000,1
20181015,17.270666,17.552,16.969334,17.306,17.306,93000000,4
20181015,107.199997,108.849998,106.32,106.339996,92.68177,18903200,3
20181016,145.710007,149.759995,145.259995,149.600006,149.600006,18365900,2
20181016,54.732498,55.747501,54.189999,55.537498,53.335625,116736000,1
20181016,17.713333,18.492001,17.482668,18.439333,18.439333,142896000,4
20181016,107.160004,108.779999,106.730003,108.620003,94.66893,19302800,3
20181017,150.679993,150.679993,146.369995,148.139999,148.139999,16872400,2
20181017,55.575001,55.66,54.834999,55.297501,53.105148,91541600,1
20181017,18.826668,18.846666,17.719999,18.118668,18.118668,129832500,4
20181017,108.379997,110.800003,108.230003,109.830002,95.723511,18794500,3
20181018,145.850006,146.279999,140.800003,142.020004,142.020004,20618900,2
